"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AA06","Unmatched","","","",""
"AAED1","Previous symbol","PRXL2C","peroxiredoxin like 2C","HGNC:16881","9q22.33"
"AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"AATK-AS1","Previous symbol","PVALEF","parvalbumin like EF-hand containing","HGNC:40053","17q25.3"
"ABHD11-AS1","Previous symbol","BICDL3P","BICD family like 3, pseudogene","HGNC:18289","7q11.23"
"ACPP","Previous symbol","ACP3","acid phosphatase 3","HGNC:125","3q22.1"
"ACPT","Previous symbol","ACP4","acid phosphatase 4","HGNC:14376","19q13.33"
"ACRC","Previous symbol","GCNA","germ cell nuclear acidic peptidase","HGNC:15805","Xq13.1"
"ACTN1-AS1","Previous symbol","ACTN1-DT","ACTN1 divergent transcript","HGNC:20131","14q24.1"
"ADCK3","Previous symbol","COQ8A","coenzyme Q8A","HGNC:16812","1q42.13"
"ADCK4","Previous symbol","COQ8B","coenzyme Q8B","HGNC:19041","19q13.2"
"ADGRF2","Previous symbol","ADGRF2P","adhesion G protein-coupled receptor F2, pseudogene","HGNC:18991","6p12.3"
"ADPRHL2","Previous symbol","ADPRS","ADP-ribosylserine hydrolase","HGNC:21304","1p34.3"
"ADRBK1","Previous symbol","GRK2","G protein-coupled receptor kinase 2","HGNC:289","11q13.2"
"ADRBK2","Previous symbol","GRK3","G protein-coupled receptor kinase 3","HGNC:290","22q12.1"
"ADSS","Previous symbol","ADSS2","adenylosuccinate synthase 2","HGNC:292","1q44"
"ADSSL1","Previous symbol","ADSS1","adenylosuccinate synthase 1","HGNC:20093","14q32.33"
"AES","Previous symbol","TLE5","TLE family member 5, transcriptional modulator","HGNC:307","19p13.3"
"AGPAT4-IT1","Approved symbol","AGPAT4-IT1","AGPAT4 intronic transcript 1","HGNC:20988","6q26"
"AHSA2","Previous symbol","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene","HGNC:20437","2p15"
